,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,101617121,17617725231,178.5,179.5,168.0,171.0,0.0,58795
1,2024-03-04,67835774,11447529465,172.5,173.0,164.5,167.0,-4.0,42412
2,2024-03-05,70356229,12064530286,170.5,175.0,167.0,169.0,2.0,43149
3,2024-03-06,46127158,7919477662,168.5,175.0,166.0,174.0,5.0,33432
4,2024-03-07,38615762,6583335265,174.0,174.5,167.0,171.0,-3.0,27064
5,2024-03-08,51772763,8468268449,170.0,170.5,157.5,161.5,-9.5,35937
6,2024-03-11,20258203,3313975507,166.0,166.0,161.0,164.5,3.0,14243
7,2024-03-12,76003778,12943784694,164.5,176.0,161.5,170.0,5.5,50022
8,2024-03-13,114630032,20210636569,173.0,184.0,170.0,173.5,3.5,73887
9,2024-03-14,74386594,12793668491,174.5,177.5,164.0,173.0,-0.5,50782
10,2024-03-15,60824253,10369806186,173.0,175.0,165.0,169.5,-3.5,38904
11,2024-03-18,80563262,14282723537,170.0,182.5,168.0,178.5,9.0,54121
12,2024-03-19,67561044,12280048766,179.0,185.5,178.5,180.0,1.5,57361
13,2024-03-20,36950540,6574862623,181.0,183.0,175.5,177.0,-3.0,28603
14,2024-03-21,60069343,10970297621,179.5,186.0,179.0,181.5,4.5,41065
15,2024-03-22,41244647,7491628232,183.0,187.5,177.0,177.5,-4.0,31740
16,2024-03-25,55532651,10294468491,179.5,189.5,178.0,185.0,7.5,38940
17,2024-03-26,95125541,18299159285,187.0,199.5,183.0,187.0,2.0,73395
18,2024-03-27,58217420,10578307436,188.0,189.5,175.0,176.0,-11.0,56515
19,2024-03-28,31745375,5685095847,178.0,183.0,176.0,177.0,1.0,26363
20,2024-03-29,27388998,4860945439,179.0,180.5,173.0,179.5,2.5,19829
21,2024-04-01,23170776,4163826698,181.0,183.0,177.5,177.5,-2.0,18529
22,2024-04-02,18348160,3287144499,179.5,182.0,176.5,178.5,1.0,13579
23,2024-04-03,8834789,1573850067,177.5,179.5,176.0,178.5,0.0,7590
24,2024-04-08,39205331,7113464009,180.5,184.0,178.5,182.0,3.5,27174
25,2024-04-09,72422367,13420509205,182.0,191.5,181.0,185.0,3.0,49333
26,2024-04-10,58903172,10803825694,187.5,191.0,179.0,183.0,-2.0,48797
27,2024-04-11,100434453,19220959877,182.5,198.0,180.5,193.0,10.0,67964
28,2024-04-12,120277910,24459097640,196.0,212.0,194.0,212.0,19.0,82149
29,2024-04-15,126993629,26265216047,213.5,221.0,195.0,203.0,-9.0,87440
30,2024-04-16,77076481,14926875297,197.0,201.0,189.0,190.5,-12.5,54654
31,2024-04-17,79388375,16176121525,194.0,209.5,193.5,209.5,19.0,52778
32,2024-04-18,92574621,19210043650,208.5,214.5,201.5,203.5,-6.0,68758
33,2024-04-19,80037634,15980043203,203.0,208.5,188.5,197.5,-6.0,67832
34,2024-04-22,51797610,10029222551,201.5,202.5,184.0,185.0,-12.5,38956
35,2024-04-23,42789842,8058943215,190.0,193.0,183.5,188.5,3.5,32555
36,2024-04-24,38033209,7320746045,193.0,195.0,188.0,194.5,6.0,28466
37,2024-04-25,18236367,3492792935,192.0,194.5,189.0,191.0,-3.5,13540
38,2024-04-26,18671010,3566508674,192.0,194.5,188.0,188.5,-2.5,17268
39,2024-04-29,19216285,3591127590,189.0,190.0,185.0,186.0,-2.5,17609
40,2024-04-30,18174628,3337301439,185.5,186.0,180.5,184.0,-2.0,14787
41,2024-05-02,16032718,2943838942,184.0,186.5,181.0,181.5,-2.5,16658
42,2024-05-03,25645268,4609262431,182.5,185.0,176.0,178.5,-3.0,20514
43,2024-05-06,16446321,2908202042,180.0,181.0,174.5,177.5,-1.0,16892
44,2024-05-07,14437762,2574446389,178.0,180.5,175.5,180.0,2.5,14148
45,2024-05-08,24703340,4543824235,178.5,187.0,178.0,184.0,4.0,19869
46,2024-05-09,13667793,2475173418,184.5,185.5,179.0,179.5,-4.5,13346
47,2024-05-10,10775360,1933736136,181.0,183.0,177.5,178.0,-1.5,8096
48,2024-05-13,32365110,5485780485,177.0,177.0,167.0,167.5,-10.5,26258
49,2024-05-14,17620210,2962554814,168.0,171.5,165.5,167.0,-0.5,14592
50,2024-05-15,12411718,2105351128,168.0,171.5,168.0,168.0,1.0,13647
51,2024-05-16,9133269,1553322385,170.5,172.5,168.0,169.0,1.0,8031
52,2024-05-17,5543691,938818676,169.5,170.5,168.0,170.5,1.5,7781
53,2024-05-20,7686103,1313342693,172.0,174.0,169.0,169.5,-1.0,6525
54,2024-05-21,4561044,768361458,169.0,171.0,167.0,167.5,-2.0,5200
55,2024-05-22,10127636,1681107497,168.5,169.0,164.5,165.0,-2.5,10373
56,2024-05-23,13429082,2179054458,165.0,165.0,160.5,162.0,-3.0,11567
57,2024-05-24,15095913,2448180358,160.5,165.5,158.0,163.5,1.5,12360
