,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,727919,13196075,18.15,18.2,18.1,18.1,-0.1,681
1,2024-03-04,1638515,29475914,18.05,18.15,17.9,17.95,-0.15,1381
2,2024-03-05,1063701,19006649,17.8,18.0,17.8,17.85,-0.1,1190
3,2024-03-06,725102,13013661,17.85,18.1,17.85,17.9,0.05,697
4,2024-03-07,2524815,44449261,17.85,17.85,17.5,17.55,-0.35,2109
5,2024-03-08,3051500,52329373,17.5,17.5,17.0,17.0,-0.55,2560
6,2024-03-11,1347858,23247359,17.0,17.55,17.0,17.3,0.3,1036
7,2024-03-12,855441,14917088,17.35,17.6,17.35,17.4,0.1,1001
8,2024-03-13,1256193,21541951,17.3,17.35,17.1,17.15,-0.25,1132
9,2024-03-14,1282584,22004376,17.2,17.3,17.1,17.1,-0.05,893
10,2024-03-15,2425948,40997939,17.1,17.1,16.75,16.75,-0.35,2049
11,2024-03-18,2656645,43675875,16.75,16.8,16.25,16.55,-0.2,2110
12,2024-03-19,1364804,22615934,16.45,16.75,16.4,16.5,-0.05,1100
13,2024-03-20,2512575,40760643,16.45,16.45,16.1,16.1,-0.4,2260
14,2024-03-21,2533379,41267726,16.15,16.45,16.15,16.4,0.3,1206
15,2024-03-22,3059308,49489463,16.55,16.6,16.0,16.2,-0.2,2333
16,2024-03-25,3197698,51034110,16.15,16.15,15.85,16.05,-0.15,2254
17,2024-03-26,2819067,45340275,16.05,16.3,16.0,16.05,0.0,1335
18,2024-03-27,1620868,25806497,16.05,16.05,15.85,15.95,-0.1,1180
19,2024-03-28,830932,13320171,15.95,16.15,15.95,15.95,0.0,1260
20,2024-03-29,1586124,25476488,16.0,16.2,15.95,16.05,0.1,960
21,2024-04-01,1864504,30363512,16.05,16.4,16.05,16.3,0.25,1119
22,2024-04-02,1299948,21014545,16.35,16.4,16.1,16.15,-0.15,1037
23,2024-04-03,1442253,23082362,16.1,16.15,15.95,15.95,-0.2,1139
24,2024-04-08,1741322,27777783,16.05,16.1,15.85,16.0,0.05,1247
25,2024-04-09,3811863,62647487,16.05,16.6,16.05,16.6,0.6,1726
26,2024-04-10,1697899,28145322,16.6,16.7,16.45,16.5,-0.1,1082
27,2024-04-11,1474267,23958799,16.5,16.5,16.15,16.2,-0.3,1184
28,2024-04-12,1339205,21604990,16.2,16.2,16.1,16.1,-0.1,877
29,2024-04-15,7207766,120764388,16.05,17.1,16.05,16.7,0.6,3331
30,2024-04-16,4138865,68023669,16.85,16.95,16.15,16.2,-0.5,2201
31,2024-04-17,1713178,27839099,16.25,16.35,16.2,16.2,0.0,1110
32,2024-04-18,1955673,31679599,16.2,16.4,16.05,16.35,0.15,1080
33,2024-04-19,2562622,41477467,16.25,16.65,15.95,16.0,-0.35,1610
34,2024-04-22,2337344,38149688,16.0,16.55,16.0,16.25,0.25,1209
35,2024-04-23,1693870,27828024,16.35,16.7,16.25,16.35,0.1,925
36,2024-04-24,1847753,29963523,16.4,16.45,16.15,16.2,-0.15,997
37,2024-04-25,1497881,24064413,16.2,16.2,16.0,16.05,-0.15,1017
38,2024-04-26,1694902,27238695,16.05,16.2,16.0,16.1,0.05,1085
39,2024-04-29,4654298,76143109,16.2,16.5,16.1,16.4,0.3,1648
40,2024-04-30,10999461,175794756,16.4,16.5,15.85,15.85,-0.55,3646
41,2024-05-02,3485896,56108450,15.95,16.25,15.95,16.15,0.3,1714
42,2024-05-03,2540514,41194684,16.25,16.35,16.1,16.1,-0.05,1307
43,2024-05-06,2645065,42496420,16.2,16.2,16.0,16.0,-0.1,1420
44,2024-05-07,5642223,89226970,16.15,16.15,15.7,15.75,-0.25,4295
45,2024-05-08,3009906,47244640,15.75,15.8,15.65,15.7,-0.05,1841
46,2024-05-09,1778230,27950691,15.7,15.85,15.6,15.6,-0.1,1344
47,2024-05-10,1774586,28106896,15.65,16.0,15.6,15.95,0.35,1069
48,2024-05-13,2794052,44820540,15.85,16.2,15.8,16.15,0.2,1281
49,2024-05-14,2583253,41856616,16.2,16.4,16.05,16.05,-0.1,1196
50,2024-05-15,2748072,44618431,16.15,16.35,16.1,16.2,0.15,1263
51,2024-05-16,1655616,26930308,16.35,16.35,16.15,16.3,0.1,958
52,2024-05-17,2485369,40877773,16.3,16.55,16.3,16.45,0.15,1250
53,2024-05-20,2730613,44926559,16.5,16.6,16.25,16.4,-0.05,1363
54,2024-05-21,2854959,45991172,16.45,16.45,16.0,16.1,-0.3,1676
55,2024-05-22,1069634,17257450,16.1,16.2,16.05,16.15,0.05,640
56,2024-05-23,3270626,51996527,16.1,16.1,15.75,15.85,-0.3,1702
57,2024-05-24,1726342,27118788,15.8,15.8,15.65,15.75,-0.1,1190
58,2024-05-27,3650607,57035218,15.75,15.75,15.5,15.7,-0.05,3390
59,2024-05-28,3250748,52091771,15.75,16.2,15.75,16.15,0.45,1539
60,2024-05-29,1898516,30426929,16.15,16.15,15.95,16.05,-0.1,1426
61,2024-05-30,1843287,29319699,15.95,16.0,15.85,15.85,-0.2,1132
62,2024-05-31,1258909,20062345,15.85,16.05,15.85,15.9,0.05,778
63,2024-06-03,1447440,22850358,15.95,16.0,15.75,15.75,-0.15,1051
64,2024-06-04,3417863,53056998,15.7,15.7,15.4,15.55,-0.2,4099
65,2024-06-05,2686345,41411619,15.55,15.6,15.35,15.4,-0.15,2873
66,2024-06-06,4374450,66225500,15.4,15.4,15.05,15.2,-0.2,3797
67,2024-06-07,2739833,42444386,15.15,15.65,15.1,15.55,0.35,1255
