,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,671371,44717409,66.8,67.1,66.2,66.5,-0.4,743
1,2024-03-04,408917,27191889,66.8,66.8,66.3,66.4,-0.1,502
2,2024-03-05,530841,35508402,66.4,67.1,66.4,67.0,0.6,443
3,2024-03-06,465610,31151468,67.0,67.2,66.6,66.8,-0.2,440
4,2024-03-07,740083,49079499,66.9,66.9,65.9,66.4,-0.4,704
5,2024-03-08,816781,53749708,67.0,67.0,65.2,65.4,-1.0,766
6,2024-03-11,405286,26426210,64.9,65.5,64.9,65.3,-0.1,394
7,2024-03-12,368415,24209996,65.1,66.1,65.0,65.8,0.5,340
8,2024-03-13,552379,36236914,66.0,66.0,65.3,65.4,-0.4,438
9,2024-03-14,391923,25716130,65.4,66.0,65.2,65.6,0.2,307
10,2024-03-15,457424,29799046,65.6,65.6,64.8,64.9,-0.7,488
11,2024-03-18,455745,29563876,64.9,65.4,64.4,65.2,0.3,388
12,2024-03-19,345984,22670656,65.3,65.7,65.3,65.4,0.2,314
13,2024-03-20,470741,31038349,65.4,66.3,65.4,65.9,0.5,374
14,2024-03-21,439841,28892330,66.4,66.4,65.5,65.7,-0.2,404
15,2024-03-22,265253,17438688,65.6,66.1,65.6,65.9,0.2,259
16,2024-03-25,278603,18410937,65.8,66.2,65.8,66.1,0.2,299
17,2024-03-26,418253,27413656,66.3,66.3,65.0,65.2,-0.9,486
18,2024-03-27,398974,26354869,65.2,66.3,65.2,66.3,1.1,364
19,2024-03-28,650426,43353383,66.4,67.1,66.2,66.2,-0.1,653
20,2024-03-29,346592,22943168,66.5,66.7,65.9,66.4,0.2,390
21,2024-04-01,411882,27300795,66.0,66.6,66.0,66.4,0.0,393
22,2024-04-02,367665,24424952,66.6,66.6,66.2,66.4,0.0,302
23,2024-04-03,278810,18343625,66.4,66.4,65.5,65.7,-0.7,352
24,2024-04-08,377602,24994689,65.7,66.6,65.7,66.5,0.8,312
25,2024-04-09,408031,27163125,66.8,66.8,66.3,66.5,0.0,370
26,2024-04-10,640687,42262666,66.5,66.5,65.5,65.7,-0.8,629
27,2024-04-11,1076385,69816833,65.7,65.8,64.5,64.7,-1.0,1076
28,2024-04-12,753976,48514329,64.7,64.9,64.1,64.2,-0.5,768
29,2024-04-15,664888,42392353,64.0,64.2,63.5,63.6,-0.6,657
30,2024-04-16,1264392,78592898,63.4,63.4,61.6,62.0,-1.6,1279
31,2024-04-17,386107,24037862,62.2,62.6,61.9,62.4,0.4,450
32,2024-04-18,459773,28477182,62.0,62.2,61.5,62.0,-0.4,475
33,2024-04-19,1064884,65203065,62.0,62.0,60.5,60.9,-1.1,1123
34,2024-04-22,376257,23073027,61.4,61.6,61.1,61.5,0.6,423
35,2024-04-23,350169,21790303,61.8,62.5,61.8,62.3,0.8,481
36,2024-04-24,369397,23123642,62.4,62.8,62.2,62.7,0.4,373
37,2024-04-25,248675,15536670,62.7,62.7,62.2,62.2,-0.5,279
38,2024-04-26,520863,32869307,63.2,63.5,62.9,63.0,0.8,466
39,2024-04-29,351033,22190304,63.0,63.5,63.0,63.1,0.1,333
40,2024-04-30,198919,12577305,63.1,63.4,63.1,63.2,0.1,206
41,2024-05-02,215710,13619418,63.2,63.3,62.8,63.2,0.0,274
42,2024-05-03,260301,16504856,63.3,63.6,63.2,63.3,0.1,329
43,2024-05-06,247501,15725791,63.6,63.8,63.4,63.5,0.2,275
44,2024-05-07,315562,20044793,63.8,64.0,63.3,63.5,0.0,333
45,2024-05-08,1016043,66233606,64.8,65.6,64.8,65.2,1.7,856
46,2024-05-09,674385,44252199,65.3,66.1,65.1,66.0,0.8,628
47,2024-05-10,2030488,136449598,66.5,67.7,66.5,67.4,1.4,1613
48,2024-05-13,1191312,80851752,67.8,68.2,67.5,67.9,0.5,1046
49,2024-05-14,1452201,99249100,68.0,68.8,67.8,68.3,0.4,1330
50,2024-05-15,833071,56670878,68.8,68.8,67.7,68.0,-0.3,1050
51,2024-05-16,1590828,109145243,68.4,69.0,67.8,68.9,0.9,1449
52,2024-05-17,5672575,409984379,70.0,73.9,69.8,72.1,3.2,5600
53,2024-05-20,3709185,271128064,77.7,77.7,70.6,70.6,-1.5,8611
54,2024-05-21,1293559,91773879,70.8,71.4,70.4,71.2,0.6,1402
55,2024-05-22,1223153,86386200,72.0,72.0,69.6,70.3,-0.9,2537
56,2024-05-23,981837,68847935,70.4,70.8,69.5,70.7,0.4,1032
57,2024-05-24,712195,49638462,70.4,70.4,69.2,69.5,-1.2,2267
58,2024-05-27,544046,37768542,69.6,69.9,69.0,69.4,-0.1,862
59,2024-05-28,347005,24105749,69.6,69.8,69.2,69.5,0.1,865
60,2024-05-29,283317,19762716,69.5,70.2,69.5,69.7,0.2,360
61,2024-05-30,336540,23303834,69.6,69.7,69.0,69.1,-0.6,606
62,2024-05-31,286442,19955631,69.3,69.9,69.3,69.9,0.8,424
63,2024-06-03,368633,25769246,70.3,70.4,69.4,70.0,0.1,544
64,2024-06-04,928538,65847216,70.0,71.5,70.0,70.9,0.9,1063
65,2024-06-05,313097,22165298,70.9,71.2,70.6,70.9,0.0,495
66,2024-06-06,473007,33332895,71.1,71.2,70.0,70.1,-0.8,1378
67,2024-06-07,900133,64040159,70.0,71.6,70.0,71.2,1.1,698
68,2024-06-11,1102832,79115931,71.4,72.5,71.0,71.5,0.3,1186
