,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,341795,18288710,53.4,54.0,53.0,53.2,-0.3,268
1,2024-03-04,196256,10427915,53.7,53.7,52.9,53.2,0.0,181
2,2024-03-05,205229,10875117,53.1,53.2,52.8,53.1,-0.1,148
3,2024-03-06,1177404,64329385,53.0,55.5,53.0,54.6,1.5,862
4,2024-03-07,464610,25214454,54.6,55.0,53.8,54.2,-0.4,446
5,2024-03-08,492730,26178628,54.2,54.4,52.2,52.6,-1.6,486
6,2024-03-11,292139,15512196,52.6,53.6,52.6,53.1,0.5,199
7,2024-03-12,203771,10903696,53.5,53.8,53.3,53.5,0.4,172
8,2024-03-13,247540,13119097,53.5,53.8,52.6,52.8,-0.7,210
9,2024-03-14,228707,12008833,52.8,52.9,52.2,52.3,-0.5,165
10,2024-03-15,492921,25352982,52.1,52.1,51.0,51.5,-0.8,368
11,2024-03-18,256916,13114496,51.1,51.3,50.7,51.3,-0.2,220
12,2024-03-19,175361,8996900,51.0,51.6,50.8,51.3,0.0,144
13,2024-03-20,148671,7608025,51.3,51.4,51.0,51.2,-0.1,137
14,2024-03-21,154423,7968246,51.6,51.8,51.3,51.4,0.2,126
15,2024-03-22,248364,12736781,51.2,51.7,51.0,51.5,0.1,161
16,2024-03-25,200017,10378116,51.8,52.1,51.7,51.9,0.4,131
17,2024-03-26,313031,16259321,52.0,52.5,51.4,51.5,-0.4,201
18,2024-03-27,152251,7929540,51.5,52.5,51.5,52.4,0.9,127
19,2024-03-28,153540,8021550,52.4,52.9,51.8,52.1,-0.3,122
20,2024-03-29,152477,7928505,52.8,52.8,51.8,51.9,-0.2,113
21,2024-04-01,199776,10419849,51.7,52.5,51.6,52.5,0.6,184
22,2024-04-02,122208,6356444,52.5,52.5,51.8,51.8,-0.7,109
23,2024-04-03,147700,7582416,51.6,51.8,51.1,51.3,-0.5,111
24,2024-04-08,103250,5304065,51.6,51.6,51.2,51.5,0.2,93
25,2024-04-09,150241,7767028,51.7,51.8,51.5,51.6,0.1,104
26,2024-04-10,240294,12556856,51.5,52.6,51.5,52.2,0.6,169
27,2024-04-11,226214,11692498,52.0,52.2,51.4,51.4,-0.8,153
28,2024-04-12,232195,12114136,51.5,52.6,51.5,52.4,1.0,186
29,2024-04-15,280765,14728390,52.4,53.0,52.0,52.2,-0.2,204
30,2024-04-16,480136,24463742,52.2,52.2,50.4,50.4,-1.8,411
31,2024-04-17,157653,8005480,50.9,51.0,50.5,50.9,0.5,188
32,2024-04-18,364702,18983095,50.9,52.7,50.9,51.9,1.0,398
33,2024-04-19,305817,15639628,52.1,52.3,50.2,50.8,-1.1,247
34,2024-04-22,192287,9809357,51.0,51.5,50.7,50.7,-0.1,140
35,2024-04-23,111442,5660104,51.1,51.1,50.5,51.0,0.3,144
36,2024-04-24,285398,14623252,51.2,51.5,51.0,51.2,0.2,165
37,2024-04-25,265650,13417224,50.2,51.0,50.0,50.0,0.0,206
38,2024-04-26,271514,13586187,50.2,50.4,49.85,49.85,-0.15,231
39,2024-04-29,132961,6651857,50.1,50.2,49.9,50.1,0.25,118
40,2024-04-30,153527,7675136,49.9,50.1,49.9,50.0,-0.1,118
41,2024-05-02,132100,6625413,50.3,50.9,49.6,50.4,0.4,112
42,2024-05-03,147240,7454515,50.8,51.1,50.3,50.4,0.0,97
43,2024-05-06,169210,8479819,50.8,50.8,49.95,49.95,-0.45,122
44,2024-05-07,204413,10239689,50.0,50.4,49.95,50.4,0.45,129
45,2024-05-08,214604,10765851,50.1,50.6,49.95,50.3,-0.1,139
46,2024-05-09,187555,9412252,50.3,50.5,49.95,49.95,-0.35,116
47,2024-05-10,318326,16142151,50.3,51.1,50.0,50.9,0.95,222
48,2024-05-13,429118,22152047,51.3,52.0,51.0,51.7,0.8,301
49,2024-05-14,486826,25406879,52.4,52.7,51.9,51.9,0.2,346
50,2024-05-15,1140033,60426902,52.6,53.5,52.5,52.7,0.8,761
51,2024-05-16,661638,35161830,52.9,53.4,52.8,53.2,0.5,468
52,2024-05-17,322494,17117279,53.1,53.3,52.9,52.9,-0.3,280
53,2024-05-20,293029,15493900,53.0,53.2,52.5,52.9,0.0,306
54,2024-05-21,252402,13315075,53.3,53.3,52.5,52.8,-0.1,468
55,2024-05-22,408548,21764080,53.0,53.5,52.9,53.1,0.3,274
56,2024-05-23,2353778,128914077,53.5,56.2,53.2,56.1,3.0,1526
57,2024-05-24,1764950,98779332,56.2,56.8,55.2,55.6,-0.5,1899
58,2024-05-27,2449332,140507689,56.9,58.0,56.5,57.7,2.1,1932
59,2024-05-28,1320410,76284971,58.9,58.9,57.1,57.8,0.1,945
60,2024-05-29,10732572,675199069,58.1,63.5,58.1,63.5,5.7,5367
61,2024-05-30,15307758,1003944340,64.4,67.5,63.0,65.4,1.9,8433
62,2024-05-31,11372827,796203410,66.5,71.9,65.7,71.9,6.5,4710
63,2024-06-03,22508696,1619006261,71.9,74.9,69.0,74.9,3.0,10152
64,2024-06-04,22800818,1700804071,74.9,77.4,72.5,73.9,-1.0,11620
65,2024-06-05,15279210,1140438216,78.5,78.6,71.5,72.9,-1.0,9001
66,2024-06-06,28408488,2201012540,74.4,80.1,73.2,80.1,7.2,17190
67,2024-06-07,31189004,2529198364,82.3,83.0,78.2,81.2,1.1,19621
68,2024-06-11,11335186,905312287,82.0,82.5,77.5,80.1,-1.1,7082
