,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,85520877,8845956012,102.0,108.5,99.6,106.5,6.5,50815
1,2024-03-04,46883841,5159893759,110.0,114.0,107.0,107.5,1.0,30621
2,2024-03-05,64955806,7460609920,108.5,118.0,108.5,117.0,9.5,36747
3,2024-03-06,38319086,4503445383,116.5,119.5,114.5,118.0,1.0,23190
4,2024-03-07,24993652,2859259108,117.5,118.0,111.5,113.5,-4.5,16145
5,2024-03-08,27056959,2968995483,114.5,115.0,106.5,107.5,-6.0,16892
6,2024-03-11,17634162,1865527372,109.0,110.0,103.5,104.0,-3.5,10694
7,2024-03-12,41893830,4437749960,105.0,109.5,101.0,104.5,0.5,26812
8,2024-03-13,58928726,6368744752,105.0,113.0,104.5,105.0,0.5,37964
9,2024-03-14,35158840,3710389747,106.0,108.0,101.0,106.5,1.5,21752
10,2024-03-15,32592956,3461370858,105.5,108.0,103.0,107.0,0.5,15505
11,2024-03-18,36117441,3967819140,107.0,113.0,105.5,111.5,4.5,24926
12,2024-03-19,22497603,2507105291,111.0,113.0,110.0,111.5,0.0,16669
13,2024-03-20,15633344,1708329660,111.5,112.5,108.0,109.0,-2.5,10415
14,2024-03-21,33303772,3785548258,110.0,116.0,110.0,113.5,4.5,22170
15,2024-03-22,25774033,2906057049,114.0,116.0,110.0,112.5,-1.0,16227
16,2024-03-25,25291900,2911125024,113.0,116.5,112.0,114.5,2.0,15708
17,2024-03-26,50258585,5819744709,115.5,120.0,110.5,114.0,-0.5,31353
18,2024-03-27,27501505,3064128127,114.0,115.0,108.0,111.0,-3.0,18626
19,2024-03-28,14683508,1612351090,110.0,111.5,108.0,109.5,-1.5,8955
20,2024-03-29,8592458,941947499,110.5,111.0,108.0,110.0,0.5,5379
21,2024-04-01,7456773,824291403,111.0,112.5,109.0,109.0,-1.0,5019
22,2024-04-02,7576783,820080921,110.5,110.5,106.0,108.5,-0.5,5757
23,2024-04-03,4963587,529068059,107.5,108.0,106.0,106.0,-2.5,3940
24,2024-04-08,29782640,3388006388,107.5,116.5,107.5,116.5,10.5,18627
25,2024-04-09,39574883,4958528542,121.0,128.0,120.5,128.0,11.5,22271
26,2024-04-10,104404534,14096837905,132.0,140.5,128.5,140.5,12.5,59261
27,2024-04-11,109493473,16199922244,144.5,154.5,140.5,153.0,12.5,67170
28,2024-04-12,100968866,16235522617,151.5,168.0,150.0,168.0,15.0,58771
29,2024-04-15,103467798,18063669790,179.5,184.0,168.0,175.0,7.0,66247
30,2024-04-16,13046938,2126457362,168.0,170.0,158.5,167.5,-7.5,12103
31,2024-04-17,8954909,1591322255,169.5,181.5,169.5,181.5,14.0,9327
32,2024-04-18,7219592,1261224846,177.0,181.0,168.5,175.0,-6.5,7910
33,2024-04-19,6495350,1077649749,172.0,174.5,158.0,165.0,-10.0,7227
34,2024-04-22,4607582,729608209,170.0,171.0,150.0,151.5,-13.5,5733
35,2024-04-23,3773141,571980924,155.0,157.0,145.0,155.0,3.5,4216
36,2024-04-24,2802272,442234681,157.0,162.0,152.0,161.0,6.0,3142
37,2024-04-25,2369070,372090751,156.0,160.0,155.0,157.5,-3.5,2666
38,2024-04-26,2390458,374498419,157.5,160.0,155.0,156.5,-1.0,2615
39,2024-04-29,3115746,473526106,156.5,156.5,149.5,150.5,-6.0,3773
40,2024-04-30,3410565,498325411,148.5,148.5,144.0,146.0,-4.5,3753
41,2024-05-02,2946480,439948853,147.0,153.5,146.0,150.0,4.0,3414
42,2024-05-03,31579762,4429932776,149.0,151.0,135.0,135.0,-15.0,25786
43,2024-05-06,16639425,2216394490,135.0,136.0,131.5,132.5,-2.5,11309
44,2024-05-07,12945813,1740827355,133.0,137.5,132.5,133.0,0.5,11287
45,2024-05-08,27576947,3817511597,132.5,143.0,129.0,138.0,5.0,19767
46,2024-05-09,13129151,1785486064,139.0,140.5,133.0,134.0,-4.0,10212
47,2024-05-10,14714001,1890196046,130.0,132.0,126.0,128.5,-5.5,10497
48,2024-05-13,13738975,1691889292,127.5,128.0,120.0,122.5,-6.0,10387
49,2024-05-14,13390587,1639631489,122.5,126.0,119.5,120.5,-2.0,9466
50,2024-05-15,7819674,944341725,122.5,123.5,119.0,119.0,-1.5,6221
51,2024-05-16,10110761,1183459446,119.5,120.5,114.5,114.5,-4.5,8569
52,2024-05-17,9040254,1054157569,116.0,118.5,114.5,118.0,3.5,6082
53,2024-05-20,10809170,1271431440,118.5,121.5,114.5,115.5,-2.5,7624
54,2024-05-21,7333103,826733698,116.0,116.5,111.0,112.0,-3.5,5953
55,2024-05-22,7736040,853307291,113.0,113.0,109.0,110.0,-2.0,6331
56,2024-05-23,6856822,744033372,110.0,110.5,107.0,107.5,-2.5,5599
57,2024-05-24,9854625,1075895863,107.5,111.5,105.5,110.5,3.0,7251
58,2024-05-27,12930537,1456764999,111.0,115.0,110.0,112.5,2.0,9101
59,2024-05-28,7996594,893106204,114.0,114.0,110.5,111.0,-1.5,6090
60,2024-05-29,6482842,719667786,111.5,113.0,110.0,110.0,-1.0,4900
61,2024-05-30,7027804,767935082,110.0,112.0,107.0,107.5,-2.5,5635
62,2024-05-31,5133584,549724561,108.5,108.5,106.0,107.0,-0.5,4041
63,2024-06-03,3568404,383662264,108.0,109.0,106.5,107.5,0.5,4910
64,2024-06-04,8752520,956153237,107.5,111.5,106.5,107.5,0.0,5878
65,2024-06-05,4661893,506530937,108.5,110.5,107.0,108.5,1.0,3609
66,2024-06-06,5784544,626729074,109.5,111.0,107.0,107.5,-1.0,4464
67,2024-06-07,27360775,3128924554,108.5,118.0,108.0,118.0,10.5,17812
