,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-03-01,3751133,268426976,71.7,71.8,71.3,71.6,-0.1,3106
1,2024-03-04,9830016,697076110,71.1,71.2,70.8,70.8,-0.8,8248
2,2024-03-05,10390455,733787199,70.8,71.2,70.4,70.4,-0.4,9214
3,2024-03-06,5911721,417255667,70.4,71.0,70.4,70.5,0.1,4480
4,2024-03-07,10977469,766982312,70.3,70.4,69.7,69.8,-0.7,10121
5,2024-03-08,16187078,1113773011,69.5,69.6,68.6,68.6,-1.2,12950
6,2024-03-11,10343891,709279477,68.0,69.3,67.8,68.9,0.3,7745
7,2024-03-12,6413563,444192325,69.0,69.6,69.0,69.3,0.4,5137
8,2024-03-13,9107708,622845639,69.3,69.3,68.1,68.4,-0.9,7486
9,2024-03-14,7326614,505417417,68.5,69.3,68.4,69.3,0.9,5010
10,2024-03-15,10717701,736676452,69.4,69.4,68.6,68.6,-0.7,4206
11,2024-03-18,5049955,345489252,68.8,68.9,68.2,68.4,-0.2,4193
12,2024-03-19,7827471,531267230,68.0,68.0,67.8,67.8,-0.6,6045
13,2024-03-20,15195830,1015381018,67.8,67.8,66.5,66.8,-1.0,12851
14,2024-03-21,11328801,761048325,66.6,67.9,66.4,67.4,0.6,7554
15,2024-03-22,6866549,460081224,67.4,67.4,66.7,67.0,-0.4,6047
16,2024-03-25,4664584,315016574,66.9,68.0,66.8,67.8,0.8,3394
17,2024-03-26,10253572,707060614,67.9,69.4,67.8,69.3,1.5,6952
18,2024-03-27,5009202,344052722,69.2,69.2,68.5,68.5,-0.8,4741
19,2024-03-28,4341456,296111319,68.5,68.6,68.0,68.1,-0.4,3285
20,2024-03-29,7041830,486176421,68.5,69.3,68.3,68.9,0.8,4489
21,2024-04-01,13211788,933932524,69.4,71.3,69.4,70.9,2.0,8936
22,2024-04-02,5500640,388113552,70.9,71.0,69.9,70.8,-0.1,5774
23,2024-04-03,6577465,461563971,70.3,70.7,69.8,70.0,-0.8,4171
24,2024-04-08,7084895,496283537,69.9,70.6,69.4,70.4,0.4,5111
25,2024-04-09,7687751,548916409,70.8,71.7,70.7,71.5,1.1,5761
26,2024-04-10,7614473,548336628,71.8,72.4,71.5,72.0,0.5,6017
27,2024-04-11,6322386,449315052,71.6,71.8,70.7,70.9,-1.1,5480
28,2024-04-12,9751827,681010186,70.1,70.2,69.6,69.7,-1.2,7165
29,2024-04-15,8137599,568115088,69.7,70.4,69.5,69.6,-0.1,4394
30,2024-04-16,9995956,682897372,69.5,69.5,68.0,68.0,-1.6,8989
31,2024-04-17,7339727,498186181,68.0,68.2,67.6,67.8,-0.2,6315
32,2024-04-18,9175546,621118811,67.6,68.3,67.2,68.1,0.3,6477
33,2024-04-19,13000806,873927534,67.6,68.3,66.8,67.1,-1.0,9771
34,2024-04-22,11046485,763376289,67.9,69.9,67.6,69.7,2.6,6601
35,2024-04-23,5988110,414560274,69.7,69.8,68.9,69.1,-0.6,8457
36,2024-04-24,4862391,335734671,69.4,69.8,68.7,68.8,-0.3,3867
37,2024-04-25,7511758,509292099,68.5,68.5,67.5,67.9,-0.9,6196
38,2024-04-26,6593810,448205480,67.7,68.5,67.6,67.7,-0.2,3501
39,2024-04-29,7474166,515533607,68.1,69.4,68.1,69.3,1.6,4496
40,2024-04-30,6015380,413322982,69.0,69.1,68.5,68.5,-0.8,4235
41,2024-05-02,4074994,278948951,68.5,68.9,68.0,68.8,0.3,3406
42,2024-05-03,8806516,607092598,69.0,69.7,68.2,68.3,-0.5,5195
43,2024-05-06,8749835,602602593,68.4,69.2,68.4,69.0,0.7,5085
44,2024-05-07,6837263,467725803,69.0,69.1,68.1,68.3,-0.7,4644
45,2024-05-08,4985857,340607985,68.3,68.7,68.1,68.3,0.0,3589
46,2024-05-09,6064968,411596318,68.2,68.2,67.7,67.7,-0.6,4590
47,2024-05-10,3734972,254936749,67.9,68.7,67.7,68.6,0.9,2927
48,2024-05-13,5169695,355132181,68.7,69.2,68.4,68.7,0.1,4446
49,2024-05-14,5007186,343184002,68.7,69.0,68.2,68.4,-0.3,3728
50,2024-05-15,7042445,482448635,68.8,69.0,68.1,68.1,-0.3,4906
51,2024-05-16,8643630,591288956,68.8,68.8,68.0,68.4,0.3,5457
52,2024-05-17,5645016,385002087,67.9,68.6,67.9,68.3,-0.1,3667
53,2024-05-20,6128687,418335565,68.6,68.7,68.0,68.1,-0.2,4431
54,2024-05-21,10402367,700620322,68.1,68.2,67.0,67.4,-0.7,8473
55,2024-05-22,7657792,514760009,67.4,67.6,67.0,67.5,0.1,5345
56,2024-05-23,7619164,510094558,67.0,67.3,66.8,67.0,-0.5,6467
57,2024-05-24,9549860,633643960,67.0,67.0,66.1,66.3,-0.7,7895
58,2024-05-27,11432331,751932531,66.2,66.5,65.4,66.5,0.2,8256
59,2024-05-28,9978662,667903542,66.4,67.4,66.3,67.1,0.6,5658
60,2024-05-29,7405666,492031033,67.0,67.0,66.1,66.1,-1.0,5797
61,2024-05-30,8476565,556734399,65.8,65.9,65.5,65.6,-0.5,6852
62,2024-05-31,20882133,1366605648,66.2,66.3,65.3,65.3,-0.3,6822
63,2024-06-03,9826962,638746883,65.5,65.7,64.6,64.9,-0.4,8253
64,2024-06-04,14004166,894942217,64.5,64.7,63.6,63.7,-1.2,12405
65,2024-06-05,14291569,898411282,63.7,63.7,62.6,62.6,-1.1,11055
66,2024-06-06,11547330,719518970,62.6,63.0,62.1,62.4,-0.2,8858
67,2024-06-07,13858886,864743589,62.1,63.0,61.6,62.7,0.3,8179
